"k
▼",Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
735,Aaron Judge,32,NYY,AL,10.9,158,704,559,122,180,36,1,58,144,10,0,133,171,0.322,0.458,0.701,1.159,225,0.484,224,392,22,9,0,2,20,*8D/97,"AS,MVP-1,SS"
736,Bobby Witt Jr.,24,KCR,AL,9.6,161,709,636,125,211,45,11,32,109,31,12,57,106,0.332,0.389,0.588,0.977,174,0.416,174,374,4,8,0,8,9,*6/D,"AS,MVP-2,GG,SS"
740,Shohei Ohtani*,29,LAD,NL,9,159,731,636,134,197,38,7,54,130,59,4,81,162,0.31,0.39,0.646,1.036,187,0.449,188,411,7,6,0,5,10,*D,"AS,MVP-1,SS"
741,Jarren Duran*,27,BOS,AL,9,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,132,0.373,137,330,6,6,1,3,1,*87,
739,Gunnar Henderson*,23,BAL,AL,8.8,159,719,630,118,177,31,7,37,92,21,4,78,159,0.281,0.364,0.529,0.893,155,0.385,153,333,2,7,0,4,1,*6/D,"AS,MVP-4"
737,Juan Soto*,25,NYY,AL,8,157,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,179,0.424,180,328,10,4,0,4,2,*9/7DH,"AS,MVP-3,SS"
703,Matt Chapman,31,SFG,NL,7.1,154,647,575,98,142,39,2,27,78,15,2,64,158,0.247,0.328,0.463,0.79,124,0.351,128,266,13,6,0,2,3,*5/H,"MVP-11,GG"
655,Ketel Marte#,30,ARI,NL,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,154,0.396,154,282,9,5,0,9,7,*4D/H6,"AS,MVP-3,SS"
721,José Ramírez#,31,CLE,AL,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,0.279,0.335,0.537,0.872,143,0.376,140,333,9,1,0,6,12,*5D,"AS,MVP-5,SS"
728,Francisco Lindor#,30,NYM,NL,6.8,152,689,618,107,169,39,1,33,91,29,4,56,127,0.273,0.344,0.5,0.844,137,0.373,140,309,7,12,0,3,0,*6/DH,"MVP-2,SS"
734,Vladimir Guerrero Jr.,25,TOR,AL,6,159,697,616,98,199,44,1,30,103,2,2,72,96,0.323,0.396,0.544,0.94,164,0.399,163,335,16,5,0,4,12,*3D5/H,"AS,MVP-6,SS"
675,Brent Rooker,29,OAK,AL,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,0.293,0.365,0.562,0.927,165,0.399,166,307,5,5,0,4,4,*D/79H,"MVP-10,SS"
656,Riley Greene*,23,DET,AL,5.3,137,584,512,82,134,27,6,24,74,4,2,64,156,0.262,0.348,0.479,0.827,131,0.358,131,245,2,5,0,2,3,7D8/9H,AS
630,Corey Seager*,30,TEX,AL,5.2,123,533,475,68,132,21,0,30,74,1,1,53,96,0.278,0.353,0.512,0.864,149,0.363,144,243,8,3,0,2,11,*6D/H,"AS,MVP-15"
691,Yordan Alvarez*,27,HOU,AL,5.2,147,635,552,88,170,34,2,35,86,6,0,69,95,0.308,0.392,0.567,0.959,170,0.406,167,313,14,10,0,4,16,D7,"AS,MVP-9"
733,Elly De La Cruz#,22,CIN,NL,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,0.259,0.339,0.471,0.809,119,0.367,122,291,12,6,2,1,2,*6/H,"AS,MVP-8"
665,Zach Neto,23,LAA,AL,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,0.249,0.318,0.443,0.761,112,0.334,111,240,14,16,4,1,1,*6/H,
692,Masyn Winn,22,STL,NL,5.1,150,637,587,85,157,32,5,15,57,11,5,41,109,0.267,0.314,0.416,0.73,104,0.317,102,244,1,1,3,5,1,*6/HD,
720,William Contreras,26,MIL,NL,5,155,679,595,99,167,37,2,23,92,9,2,78,139,0.281,0.365,0.466,0.831,130,0.361,130,277,19,3,0,3,5,*2D/H,"AS,MVP-5,SS"
616,Daulton Varsho*,27,TOR,AL,4.8,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,96,0.306,92,187,2,4,1,1,1,*87/H9D,GG
677,Brice Turang*,24,MIL,NL,4.8,155,619,559,72,142,24,4,7,57,50,6,50,105,0.254,0.316,0.349,0.665,86,0.313,86,195,8,2,5,3,1,*4H/D,GG
490,Kyle Tucker*,27,HOU,AL,4.6,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,179,0.426,177,162,5,1,0,2,3,9/DH,AS
620,Mookie Betts,31,LAD,NL,4.6,116,516,450,75,130,24,5,19,75,16,2,61,57,0.289,0.372,0.491,0.863,143,0.377,142,221,10,1,0,4,2,694/H,"AS,MVP-13,SS"
684,Cal Raleigh#,27,SEA,AL,4.6,153,628,546,73,120,16,0,34,100,6,1,70,176,0.22,0.312,0.436,0.748,118,0.324,116,238,7,6,0,6,4,*2D/H,"MVP-12,GG"
685,Bryce Harper*,31,PHI,NL,4.6,145,631,550,85,157,42,0,30,87,7,4,76,138,0.285,0.373,0.525,0.898,146,0.381,145,289,18,2,1,2,11,*3/D,"AS,MVP-6,SS"
660,Jackson Merrill*,21,SDP,NL,4.5,156,593,554,77,162,31,6,24,90,16,3,29,101,0.292,0.326,0.5,0.826,127,0.357,126,277,2,1,4,5,1,*8/H,"AS,MVP-9,ROY-2,SS"
696,Freddie Freeman*,34,LAD,NL,4.5,147,638,542,81,153,35,2,22,89,9,2,78,100,0.282,0.378,0.476,0.854,141,0.37,140,258,13,10,0,8,9,*3,"AS,MVP-17"
738,Marcus Semien,33,TEX,AL,4.5,159,718,650,101,154,27,2,23,74,8,3,64,105,0.237,0.308,0.391,0.699,103,0.31,104,254,9,3,0,1,2,*4,AS
725,Marcell Ozuna,33,ATL,NL,4.3,162,688,606,96,183,31,0,39,104,1,0,74,170,0.302,0.378,0.546,0.925,154,0.394,154,331,23,3,0,4,2,*D,"AS,MVP-4"
644,Wyatt Langford,22,TEX,AL,4.2,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,115,0.329,114,207,6,4,0,3,3,*7D8,ROY-7
673,Julio Rodríguez,23,SEA,AL,4.2,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,115,0.334,120,232,10,6,0,2,1,*8D/H,
707,Teoscar Hernández,31,LAD,NL,4.1,154,652,589,84,160,32,2,33,99,12,3,53,188,0.272,0.339,0.501,0.84,135,0.368,138,295,7,8,0,1,3,*79,"AS,MVP-19,SS"
637,Steven Kwan*,26,CLE,AL,4,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126,0.352,128,204,5,5,2,0,0,*7/DH,"AS,GG"
659,Dansby Swanson,30,CHC,NL,4,149,593,534,82,129,27,2,16,66,19,3,54,144,0.242,0.312,0.39,0.701,98,0.313,96,208,7,2,0,3,2,*6/H,
687,Andrés Giménez*,25,CLE,AL,4,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,82,0.294,81,198,11,15,3,6,1,*4,GG
688,Alex Bregman,30,HOU,AL,4,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,116,0.334,115,263,13,5,0,4,1,*5/D,GG
