▼,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
740,Aaron Judge,33,NYY,AL,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,0.331,0.457,0.688,1.144,214,0.461,212,372,16,7,0,7,36,9D/H,"AS,MVP-1,SS"
753,Cal Raleigh#,28,SEA,AL,7.4,159,705,596,110,147,24,0,60,125,14,4,97,188,0.247,0.359,0.589,0.948,166,0.392,165,351,6,9,0,3,17,*2D/H,"AS,MVP-2,SS"
745,Bobby Witt Jr.,25,KCR,AL,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,0.295,0.351,0.501,0.852,137,0.37,136,312,7,8,0,7,8,*6/D,"AS,MVP-4,GG,SS"
758,Geraldo Perdomo#,25,ARI,NL,7,161,720,597,98,173,33,5,20,100,27,6,94,83,0.29,0.389,0.462,0.851,136,0.382,139,276,11,10,8,11,1,*6/H,"MVP-4,SS"
756,Julio Rodríguez,24,SEA,AL,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,0.267,0.324,0.474,0.798,125,0.353,133,309,15,12,0,2,5,*8/DH,"AS,MVP-6"
761,Shohei Ohtani*,30,LAD,NL,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,0.282,0.392,0.622,1.014,181,0.423,175,380,9,3,0,2,20,*D1,"AS,MVP-1,SS"
580,Corey Seager*,31,TEX,AL,6.2,102,445,380,61,103,19,0,21,50,3,0,58,87,0.271,0.373,0.487,0.86,150,0.37,153,185,13,5,0,2,10,6/D,
717,Nico Hoerner,28,CHC,NL,6.2,156,649,599,89,178,29,4,7,61,29,6,39,49,0.297,0.345,0.394,0.739,115,0.338,118,236,4,7,0,4,1,*4/6,"MVP-19,GG"
757,Juan Soto*,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,0.263,0.396,0.525,0.921,160,0.41,163,303,17,3,1,6,13,*9/D,"MVP-3,SS"
714,Pete Crow-Armstrong*,23,CHC,NL,6,157,647,591,91,146,37,4,31,95,35,8,29,155,0.247,0.287,0.481,0.768,119,0.337,117,284,1,9,6,12,1,*8/HD,"AS,MVP-9,GG"
760,Matt Olson*,31,ATL,NL,6,162,724,624,98,170,41,2,29,95,1,0,91,176,0.272,0.366,0.484,0.85,139,0.368,136,302,14,4,0,5,2,*3,"AS,MVP-18,GG"
747,Fernando Tatis Jr.,26,SDP,NL,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,0.268,0.368,0.446,0.814,126,0.368,129,265,6,6,0,2,7,*9/D,"AS,MVP-8,GG"
