yearID,player,team,position,salary
2024,Shohei Ohtani,LAD,DH,70000000
2024,Max Scherzer,TEX,SP,43333333
2024,Justin Verlander,HOU,SP,43333333
2024,Aaron Judge,NYY,CF,40000000
2024,Jacob deGrom,TEX,SP,37000000
2024,Gerrit Cole,NYY,SP,36000000
2024,Mike Trout,LAA,CF,35541667
2024,Anthony Rendon,LAA,3B,35000000
2024,Stephen Strasburg,WSH,SP,35000000
2024,Francisco Lindor,NYM,SS,34100000
2024,Carlos Correa,MIN,SS,33333333
2024,Nolan Arenado,STL,3B,32500000
2024,Corey Seager,TEX,SS,32500000
2024,Manny Machado,SD,3B,31818182
2024,Rafael Devers,BOS,3B,31350000
2024,Blake Snell,SF,SP/SP3,31000000
2024,Juan Soto,NYY,RF,31000000
2024,Mookie Betts,LAD,SS/RF/2B,30416667
2024,Tyler Glasnow,LAD,SP,27312500
2024,Trea Turner,PHI,SS,27272727
2024,Yoshinobu Yamamoto,LAD,SP,27083333
2024,Freddie Freeman,LAD,1B,27000000
2024,Carlos Rodon,NYY,SP,27000000
2024,Christian Yelich,MIL,LF,26928571
2024,Cody Bellinger,CHC,RF/CF/1B,26666667
2024,Bobby Witt Jr.,KC,SS,26252525
2024,Kris Bryant,COL,1B/OF,26000000
2024,Paul Goldschmidt,STL,1B,26000000
2024,Xander Bogaerts,SD,2B,25454545
2024,Bryce Harper,PHI,1B,25384615
2024,Dansby Swanson,CHC,SS,25285714
2024,Sonny Gray,STL,SP,25000000
2024,Jordan Montgomery,ARI,SP,25000000
2024,Marcus Semien,TEX,2B,25000000
2024,George Springer,TOR,RF,25000000
2024,Giancarlo Stanton,NYY,DH,25000000
2024,Aaron Nola,PHI,SP/SP2,24571429
2024,Fernando Tatis Jr.,SD,RF,24285714
2024,Zack Wheeler,PHI,SP,23600000
2024,Teoscar Hernandez,LAD,LF/RF,23500000
2024,Jose Altuve,HOU,2B,23357143
2024,Javier Báez,DET,SS,23333333
2024,Patrick Corbin,WSH,SP,23333333
2024,Trevor Story,BOS,SS,23333333
2024,J.T. Realmuto,PHI,C,23100000
2024,Robbie Ray,SF,SP,23000000
2024,Kevin Gausman,TOR,SP,22000000
2024,Luis Castillo,SEA,SP,21600000
2024,Austin Riley,ATL,3B,21200000
2024,Chris Bassitt,TOR,SP,21000000
2024,Matt Olson,ATL,1B,21000000
2024,Pete Alonso,NYM,1B,20500000
2024,Salvador Perez,KC,C/1B/DH,20500000
2024,Edwin Diaz,NYM,RP,20400000
2024,Ian Happ,CHC,LF,20333333
2024,Brandon Nimmo,NYM,LF,20250000
2024,José Ramírez,CLE,3B,20142857
2024,Alex Bregman,HOU,3B,20000000
2024,Nick Castellanos,PHI,RF,20000000
2024,Charlie Morton,ATL,SP,20000000
2024,Joe Musgrove,SD,SP,20000000
2024,Anthony Rizzo,NYY,1B,20000000
2024,Eduardo Rodriguez,ARI,SP/SP1,20000000
2024,Vladimir Guerrero Jr.,TOR,1B/3B,19900000
2024,Kyle Schwarber,PHI,DH,19750000
2024,Starling Marte,NYM,RF,19500000
2024,Lucas Giolito,BOS,SP/SP2,19250000
2024,Yordan Alvarez,HOU,DH/LF,19166667
2024,Josh Hader,HOU,RP/CL,19000000
2024,Chris Sale,ATL,SP/SP2,19000000
2024,Jung Hoo Lee,SF,CF,18833333
2024,José Berríos,TOR,SP,18714286
2024,Miles Mikolas,STL,SP,18583333
2024,Marcus Stroman,NYY,SP/SP1,18500000
2024,Pablo López,MIN,SP,18375000
2024,Matt Chapman,SF,3B,18000000
2024,Michael Conforto,SF,DH,18000000
2024,Yu Darvish,SD,SP,18000000
2024,Taijuan Walker,PHI,RP,18000000
2024,Logan Webb,SF,SP,18000000
2024,Masataka Yoshida,BOS,DH,18000000
2024,Willson Contreras,STL,C,17500000
2024,Julio Rodriguez,SEA,CF,17441667
2024,Nathan Eovaldi,TEX,SP,17000000
2024,Rhys Hoskins,MIL,DH,17000000
2024,Lance McCullers,HOU,SP,17000000
2024,Seiya Suzuki,CHC,DH,17000000
2024,Jameson Taillon,CHC,SP,17000000
2024,Wander Franco,TB,SS,16545455
2024,Josh Bell,ARI,1B,16500000
2024,Marcell Ozuna,ATL,DH,16250000
2024,Kenley Jansen,BOS,RP,16000000
2024,Frankie Montas,MIL,SP/SP3,16000000
2024,Michael Wacha,KC,SP/SP5,16000000
2024,Corbin Burnes,BAL,SP/SP1,15637000
2024,Mitch Keller,PIT,SP,15400000
2024,Andres Gimenez,CLE,2B,15214286
2024,Ketel Marte,ARI,2B,15200000
2024,Andrew Benintendi,CHW,LF,15000000
2024,Jeimer Candelario,CIN,3B,15000000
2024,Max Fried,ATL,SP/SP1,15000000
2024,D.J. LeMahieu,NYY,3B,15000000
2024,Seth Lugo,KC,SP,15000000
2024,Ryan Pressly,HOU,RP,15000000
2024,Kodai Senga,NYM,SP,15000000
2024,Chris Taylor,LAD,2B,15000000
2024,Mitch Haniger,SEA,RF,14500000
2024,Raisel Iglesias,ATL,RP/CL,14500000
2024,Byron Buxton,MIN,CF,14285714
2024,Gleyber Torres,NYY,2B,14200000
2024,Jack Flaherty,LAD,SP/SP2,14000000
2024,Jon Gray,TEX,SP,14000000
2024,Lourdes Gurriel Jr.,ARI,LF,14000000
2024,Sean Manaea,NYM,SP,14000000
2024,Yoan Moncada,CHW,3B,14000000
2024,Will Smith,LAD,C,14000000
2024,Jorge Soler,ATL,RF/DH,14000000
2024,Corbin Carroll,ARI,RF,13875000
2024,Kyle Hendricks,CHC,SP,13875000
2024,Bryan Reynolds,PIT,RF,13343750
2024,Zach Eflin,BAL,SP,13333333
2024,Mark Canha,SF,1B/DH/LF,13250000
2024,Shota Imanaga,CHC,SP,13250000
2024,Shane Bieber,CLE,SP/SP1,13125000
2024,Tyler Anderson,LAA,SP,13000000
2024,Charlie Blackmon,COL,DH/RF,13000000
2024,Kyle Gibson,STL,SP/SP4,13000000
2024,Nick Martinez,CIN,SP,13000000
2024,Jose Quintana,NYM,SP,13000000
2024,Luis Severino,NYM,SP/SP3,13000000
2024,Justin Turner,SEA,DH/1B,13000000
2024,Kyle Freeland,COL,SP,12900000
2024,Cristian Javier,HOU,SP,12800000
2024,Ronald Acuña Jr.,ATL,RF,12500000
2024,Andrew Heaney,TEX,SP,12500000
2024,Jeff McNeil,NYM,2B,12500000
2024,Joc Pederson,ARI,DH,12500000
2024,Spencer Strider,ATL,SP,12500000
2024,Ross Stripling,OAK,RP,12500000
2024,Willy Adames,MIL,SS,12250000
2024,Sean Murphy,ATL,C,12166667
2024,Framber Valdez,HOU,SP/SP3,12100000
2024,Anthony DeSclafani,MIN,RP,12000000
2024,Mitch Garver,SEA,DH,12000000
2024,Yusei Kikuchi,HOU,SP,12000000
2024,Kenta Maeda,DET,RP,12000000
2024,J.D. Martinez,NYM,DH/RF,12000000
2024,Max Muncy,LAD,3B,12000000
2024,Kyle Tucker,HOU,RF,12000000
2024,Anthony Santander,BAL,RF,11700000
